age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,age_group
49,State-gov,55938,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,40-49
26,Private,150361,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,20-29
69,,164102,HS-grad,9,Divorced,,Not-in-family,White,Female,40,United-States,>50K,60-69
30,Private,205204,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,20-29
31,Local-gov,168906,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,30-39
30,Private,112115,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,20-29
27,Private,116531,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,20-29
24,Private,341294,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,20-29
47,Private,216734,Bachelors,13,Divorced,Sales,Unmarried,White,Female,50,United-States,<=50K,40-49
51,Private,182187,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,35,United-States,<=50K,50-59
47,Private,168232,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,44,United-States,>50K,40-49
20,Private,147171,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,40,Vietnam,<=50K,10-19
31,Private,193650,11th,7,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,30-39
56,Private,398067,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,50-59
53,Private,29658,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,50-59
26,Private,154966,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,20-29
28,,291374,10th,6,Never-married,,Unmarried,Black,Female,40,United-States,<=50K,20-29
57,Federal-gov,97837,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,48,United-States,>50K,50-59
34,Private,117983,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,30-39
31,,345497,10th,6,Married-civ-spouse,,Husband,White,Male,40,United-States,<=50K,30-39
24,Private,64167,Assoc-voc,11,Never-married,Tech-support,Unmarried,Black,Female,40,United-States,<=50K,20-29
37,Federal-gov,289653,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-39
36,Federal-gov,67317,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,30-39
45,Private,77764,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-49
60,Self-emp-not-inc,376973,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,42,United-States,>50K,50-59
43,Local-gov,159449,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K,40-49
18,Private,168288,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,10-19
20,Private,275190,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,10-19
32,Private,189838,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,50,United-States,<=50K,30-39
18,Self-emp-not-inc,40293,HS-grad,9,Never-married,Farming-fishing,Other-relative,White,Male,40,United-States,<=50K,10-19
41,Local-gov,88904,Bachelors,13,Separated,Prof-specialty,Unmarried,Black,Female,40,United-States,<=50K,40-49
48,Private,145041,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,40,Dominican-Republic,<=50K,40-49
41,State-gov,363591,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,40-49
33,Private,267859,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,El-Salvador,<=50K,30-39
58,Private,190747,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,50-59
33,Private,141229,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,50,United-States,<=50K,30-39
42,Self-emp-not-inc,174216,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,>50K,40-49
25,Private,366416,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,20-29
39,Private,172538,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,30-39
35,Private,193026,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K,30-39
49,Local-gov,337768,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,40-49
25,Local-gov,179059,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,40,United-States,<=50K,20-29
47,Federal-gov,99549,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,40-49
46,Private,72619,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K,40-49
42,State-gov,55764,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,Black,Male,40,United-States,<=50K,40-49
26,Private,282304,Some-college,10,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K,20-29
26,,176077,Some-college,10,Never-married,,Unmarried,White,Female,40,United-States,<=50K,20-29
45,Self-emp-inc,142719,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,40-49
33,Federal-gov,159548,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,30-39
43,Private,91209,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,40-49
28,Private,196564,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,20-29
21,Private,169699,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,35,United-States,<=50K,20-29
23,Private,218215,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,35,United-States,<=50K,20-29
30,Private,156718,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K,20-29
46,Private,55720,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,40-49
38,Self-emp-inc,257250,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,50,United-States,<=50K,30-39
20,Private,194630,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,10-19
33,Private,196266,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,30-39
45,Local-gov,197332,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,40-49
47,Private,97842,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-49
43,Private,116852,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,36,Portugal,>50K,40-49
37,Private,38468,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,30-39
44,Local-gov,188808,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,40-49
41,Private,187322,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,<=50K,40-49
38,Private,168680,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K,30-39
23,Private,256755,Bachelors,13,Never-married,Handlers-cleaners,Other-relative,White,Female,40,Cuba,<=50K,20-29
47,Private,30457,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,40-49
41,Private,178983,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K,40-49
30,Local-gov,247328,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,20-29
42,Private,201732,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,40-49
35,Private,246829,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,30-39
29,Private,119170,Some-college,10,Separated,Tech-support,Unmarried,White,Female,40,United-States,<=50K,20-29
48,State-gov,170142,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,40-49
34,Local-gov,303867,9th,5,Never-married,Other-service,Own-child,White,Male,40,United-States,<=50K,30-39
32,Private,213179,Some-college,10,Divorced,Craft-repair,Own-child,White,Male,40,United-States,>50K,30-39
31,State-gov,111843,Assoc-acdm,12,Separated,Other-service,Unmarried,Black,Female,40,United-States,<=50K,30-39
47,Federal-gov,68493,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,>50K,40-49
46,Federal-gov,340718,11th,7,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,40-49
18,Private,194059,12th,8,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,10-19
28,State-gov,286310,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,20-29
38,Private,207202,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,>50K,30-39
33,Self-emp-inc,132601,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,30-39
41,Private,160785,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,40-49
38,Local-gov,225605,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,United-States,<=50K,30-39
49,Private,164799,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,40-49
60,Federal-gov,21876,Some-college,10,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,<=50K,50-59
63,Self-emp-inc,272425,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,60-69
45,Self-emp-inc,204205,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,40-49
36,Private,169926,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,40,United-States,<=50K,30-39
25,Private,108779,Masters,14,Separated,Other-service,Own-child,White,Female,40,United-States,<=50K,20-29
20,,293136,Some-college,10,Never-married,,Own-child,White,Female,35,United-States,<=50K,10-19
60,Private,227332,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,50-59
31,Private,153078,Assoc-acdm,12,Never-married,Craft-repair,Own-child,Other,Male,50,United-States,<=50K,30-39
47,Private,169180,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,35,United-States,<=50K,40-49
45,Self-emp-not-inc,193451,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K,40-49
51,Private,305147,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,50-59
23,Private,138892,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,<=50K,20-29
34,Private,223267,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Male,50,United-States,<=50K,30-39
51,,203953,HS-grad,9,Married-civ-spouse,,Husband,White,Male,40,United-States,>50K,50-59
46,State-gov,29696,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,40-49
56,Private,282023,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,50-59
29,Private,77760,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,<=50K,20-29
46,Self-emp-not-inc,148599,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K,40-49
55,Private,414994,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,50-59
45,,144354,9th,5,Separated,,Own-child,Black,Male,40,United-States,<=50K,40-49
41,Private,252058,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,40-49
34,Private,117963,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,30-39
27,Private,194652,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,<=50K,20-29
29,Private,299705,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,Male,37,United-States,<=50K,20-29
47,Local-gov,39986,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,40-49
43,Self-emp-inc,135342,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,40-49
29,Private,266043,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,20-29
23,Private,35633,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,20-29
23,Private,74568,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,20-29
31,Private,259425,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,30-39
47,Self-emp-inc,212120,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,40-49
28,Private,161674,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,20-29
36,Private,62346,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,30-39
40,Private,227236,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,30-39
19,Private,283033,11th,7,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,10-19
42,Private,251229,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,40-49
23,State-gov,305498,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K,20-29
48,Local-gov,142719,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,40-49
56,Private,119859,Some-college,10,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,>50K,50-59
32,Private,141410,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K,30-39
27,Private,198813,HS-grad,9,Divorced,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K,20-29
33,Federal-gov,129707,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K,30-39
44,Private,173981,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-49
34,Private,134886,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,30-39
57,Self-emp-inc,282913,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,Cuba,<=50K,50-59
59,Local-gov,196013,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,50-59
33,Federal-gov,348491,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Black,Female,40,United-States,>50K,30-39
52,Private,416164,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Other,Male,49,Mexico,<=50K,50-59
50,Self-emp-not-inc,175456,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,40-49
28,Private,134566,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,<=50K,20-29
55,Private,211678,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,United-States,<=50K,50-59
44,Federal-gov,44822,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-49
53,State-gov,144586,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Female,40,United-States,<=50K,50-59
23,Private,119156,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,20-29
25,Private,371987,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,20-29
44,State-gov,144125,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,40-49
48,Self-emp-not-inc,121124,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K,40-49
46,Private,58126,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-49
26,Private,318518,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,20-29
52,Private,155434,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,<=50K,50-59
39,Private,56648,HS-grad,9,Separated,Sales,Not-in-family,White,Female,47,United-States,<=50K,30-39
26,Private,330695,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,20-29
26,State-gov,58039,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,20-29
44,Private,313022,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K,40-49
40,Private,165309,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,43,United-States,<=50K,30-39
22,Private,216181,11th,7,Never-married,Craft-repair,Own-child,White,Male,45,United-States,<=50K,20-29
62,Private,178745,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,>50K,60-69
44,Private,111067,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40-49
18,,163788,Some-college,10,Never-married,,Own-child,White,Female,40,United-States,<=50K,10-19
45,Private,123075,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,40-49
18,Private,78045,11th,7,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,10-19
32,Local-gov,255004,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,30-39
48,Private,192894,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,40-49
45,Private,325390,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,40-49
35,Private,170797,Bachelors,13,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,30-39
39,Private,269186,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-39
37,Private,163392,HS-grad,9,Never-married,Transport-moving,Other-relative,Asian-Pac-Islander,Male,40,,<=50K,30-39
40,Private,201495,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Male,45,United-States,<=50K,30-39
25,Private,251854,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,40,Jamaica,<=50K,20-29
33,Private,170769,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-39
28,Private,142443,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,20-29
35,Private,170263,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K,30-39
34,Private,178615,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,30-39
33,Private,279524,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K,30-39
24,State-gov,165201,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,45,United-States,<=50K,20-29
46,Local-gov,216414,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K,40-49
47,State-gov,80914,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,47,United-States,>50K,40-49
62,Private,73292,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,60-69
25,Private,200408,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,20-29
44,Self-emp-inc,187720,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,40-49
52,Private,236180,Bachelors,13,Married-spouse-absent,Other-service,Not-in-family,White,Male,50,United-States,<=50K,50-59
21,Private,118693,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,20-29
39,Private,225544,Masters,14,Married-civ-spouse,Transport-moving,Husband,White,Male,40,Poland,<=50K,30-39
59,Federal-gov,243612,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K,50-59
34,Private,314646,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-39
22,Private,124971,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,20-29
32,Private,209184,Bachelors,13,Married-civ-spouse,Sales,Husband,Other,Male,40,Puerto-Rico,<=50K,30-39
39,State-gov,121838,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,40,United-States,<=50K,30-39
34,Private,45522,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,<=50K,30-39
20,Private,116791,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Female,40,United-States,<=50K,10-19
55,State-gov,26290,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,38,United-States,<=50K,50-59
22,Private,216134,Some-college,10,Never-married,Sales,Own-child,Black,Female,40,United-States,<=50K,20-29
60,Self-emp-not-inc,143932,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,50-59
40,Private,217120,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,30-39
23,Private,185452,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,35,Canada,<=50K,20-29
57,Local-gov,44273,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Female,40,United-States,<=50K,50-59
52,Private,178983,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,50-59
41,Federal-gov,57924,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,40,United-States,<=50K,40-49
58,Private,204021,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,Canada,<=50K,50-59
26,Private,192506,Bachelors,13,Never-married,Other-service,Not-in-family,Black,Female,35,United-States,<=50K,20-29
42,Private,195821,HS-grad,9,Separated,Sales,Unmarried,White,Female,40,United-States,<=50K,40-49
17,,127003,9th,5,Never-married,,Own-child,Black,Male,40,United-States,<=50K,10-19
39,Self-emp-not-inc,124090,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,30-39
28,Private,199600,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K,20-29
51,Self-emp-not-inc,218311,Some-college,10,Divorced,Sales,Unmarried,White,Female,50,United-States,<=50K,50-59
27,Private,167336,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,39,United-States,<=50K,20-29
41,Private,59938,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,43,United-States,<=50K,40-49
28,Private,263728,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,20-29
47,Private,190139,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,40-49
27,Private,109001,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,49,United-States,<=50K,20-29
42,Local-gov,159931,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,United-States,>50K,40-49
32,Private,194987,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,40,United-States,<=50K,30-39
32,Local-gov,87310,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,41,United-States,<=50K,30-39
27,Private,133937,Masters,14,Never-married,Sales,Own-child,White,Male,40,United-States,<=50K,20-29
29,Private,207064,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,20-29
58,Self-emp-not-inc,49884,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,50-59
26,Private,229977,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K,20-29
37,Private,305379,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,30-39
42,Self-emp-not-inc,99185,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,40-49
67,Private,197865,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,60-69
41,Local-gov,175149,HS-grad,9,Divorced,Transport-moving,Not-in-family,Black,Female,38,United-States,<=50K,40-49
49,Local-gov,349633,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K,40-49
18,Private,242893,11th,7,Never-married,Craft-repair,Own-child,White,Male,35,United-States,<=50K,10-19
43,State-gov,144811,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K,40-49
66,Private,114447,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,35,United-States,<=50K,60-69
61,,161279,HS-grad,9,Widowed,,Not-in-family,White,Female,36,United-States,<=50K,60-69
38,Private,225707,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Cuba,>50K,30-39
43,Local-gov,115603,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,40-49
42,Private,56483,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,40-49
43,Federal-gov,144778,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,40-49
30,Self-emp-not-inc,33308,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,20-29
30,Private,158420,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,50,Iran,<=50K,20-29
28,Private,149734,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,52,United-States,<=50K,20-29
24,Private,349691,Some-college,10,Never-married,Sales,Other-relative,Black,Female,40,United-States,<=50K,20-29
47,Private,185385,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,40-49
34,Self-emp-not-inc,174463,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Male,50,United-States,<=50K,30-39
28,Private,33895,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,45,United-States,<=50K,20-29
36,Private,214816,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,40,United-States,<=50K,30-39
24,Private,229773,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,20-29
51,Self-emp-inc,166386,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,35,Taiwan,<=50K,50-59
44,Private,266135,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,40-49
54,Federal-gov,392502,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,50-59
61,Private,73809,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,60-69
51,Private,193720,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,50-59
51,Private,162944,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,50-59
50,Local-gov,186888,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Black,Female,40,United-States,>50K,40-49
52,Private,202930,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,50-59
42,Self-emp-inc,204033,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,,<=50K,40-49
22,Private,271274,11th,7,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K,20-29
38,Private,174242,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K,30-39
